,C1,C2,C3,C4,C5
1971-08-16,7.444563804824789,0.4599974173303307,-1.0877226064510512,0.042875784463284494,-0.35850496455687564
1971-08-17,5.383101985240721,0.10157922659869634,-0.47296183169689154,0.014324535030641128,-0.25736503176070763
1971-08-18,5.611628511173912,-0.3676662462221074,-0.6349208410388989,0.12753228342084616,-0.14234421919357218
1971-08-19,4.810605264343074,-0.8214714342475444,-0.6571084094013284,-0.025609038169709886,-0.11958150238216134
1971-08-20,5.386252394061408,-0.6314843387732987,-0.912904506581316,-0.0790000647322171,-0.06425999023829235
1971-08-23,6.839985239352508,-0.5436397828396222,-1.267290768812443,0.016307748219832496,-0.0483060635377455
1971-08-24,5.565736743873508,-0.44936542139735547,-1.0128008249624396,-0.07109898055296116,-0.04498654552237692
1971-08-25,5.795142389635934,-0.4902725534608381,-0.987471072738715,-0.0725840579494399,-0.07377799346100572
1971-08-26,5.428510621554047,-0.4582464305164864,-0.9454314467735753,-0.05202587462513719,-0.13443967048715078
1971-08-27,4.954976207757774,-0.3620932548646376,-0.8278014307327423,-0.062140396900858486,-0.18641799150589577
1971-08-30,4.6443670224637685,-0.5696246354051508,-0.9042957945892165,-0.11311374162358279,-0.22004602471296764
1971-08-31,4.092015716575332,-0.621538090077868,-0.8199115657617029,-0.2381700646142051,-0.1133017994886524
1971-09-01,4.174410046276158,-0.2527518542362568,-1.101593343649955,-0.1293451083321291,-0.1828312500771082
1971-09-02,3.8343480429686707,0.07321189669431583,-1.1477994396706959,-0.1312678323569566,-0.2076565213182287
1971-09-03,3.469909077525166,0.16498168906400235,-1.1684221468966685,-0.06184366020082532,-0.15172648115434018
1971-09-07,3.1011531875076486,0.30522594269542314,-1.1974244462658263,0.0273617207766243,-0.1948645676285949
1971-09-08,3.4891964433152722,0.38953821257283305,-1.4107366697768273,0.13391444495292332,-0.2398592756708301
1971-09-09,4.228992609046735,0.3733336655498558,-1.6853669301490501,0.25161284254944216,-0.32219118183417256
1971-09-10,4.348604463132574,0.47591433529513605,-1.727197036492822,0.2518495042552623,-0.34064778729256573
1971-09-13,5.209138750666234,0.4762781410466781,-1.7012421792908468,0.23225802362184897,-0.25595091281474197
1971-09-14,4.861053862513522,0.6464808215399929,-1.4046416046131123,0.3028962250883225,-0.2634229970469668
1971-09-15,4.414758136121911,0.43633857994047975,-1.199272649536021,0.40268084025631207,-0.2957059680147726
1971-09-16,4.160120449320907,0.4370141325682253,-1.1674223147112586,0.39257822239718015,-0.29057879954763804
1971-09-17,3.9299570287445746,0.5306328985384017,-1.1709772250388704,0.27177379967324633,-0.2901151906872443
1971-09-20,4.29060607906456,0.4593134466249449,-1.33965851759402,0.47609093852494766,-0.32468932871599
1971-09-21,4.550538359755173,0.5055507026704893,-1.426973109790848,0.4737009239598886,-0.3548365129941369
1971-09-22,4.770381110727392,0.498377890944556,-1.4707402403405612,0.4639609784096016,-0.41113537218991564
1971-09-23,4.73663071015914,0.41476599209200327,-1.3683696184176113,0.4354493924383198,-0.3734047259517337
1971-09-24,4.407684108225432,0.44862218673573295,-1.319209464805501,0.42723787707325084,-0.38202455144916725
1971-09-27,4.137358035211221,0.48796762211186895,-1.3122046628030175,0.4577860209363714,-0.379494964020774
1971-09-28,4.160991733665298,0.5688017563718173,-1.4104462873654002,0.4969284720246915,-0.42152353247059327
1971-09-29,3.751141735217267,0.673287333835181,-1.4487734377162202,0.48197892460031505,-0.41279454722224757
1971-09-30,2.9664619765404723,0.7193194158548399,-1.4074676235334016,0.4875353941913487,-0.40647481435842286
1971-10-01,2.7090581828498514,0.5517433399290317,-1.3734817210449433,0.5600428051525733,-0.3959972236536112
1971-10-04,2.4754837125091527,0.34693165228735356,-1.5018105805666981,0.6802848668352353,-0.30659570351741616
1971-10-05,2.7713391771805718,0.23945306336736216,-1.5982434299009793,0.7702085679565908,-0.362046719357493
1971-10-06,2.439506383900458,0.27141902983382327,-1.5542744511153865,0.7099095274219553,-0.35574309563530326
1971-10-07,2.4054459025513566,0.27251112769283115,-1.6723575501281582,0.8009127214514526,-0.3378125723405953
1971-10-08,1.993223293678355,0.15169073088550977,-1.6370650448119064,0.8102989292719727,-0.25980457178735017
