,C3,C2,C1
1972-02-02,-1.8856343,-0.6217914,-1.0396945
1972-02-03,-1.9098783,-0.6117603,-1.0359026
1972-02-04,-1.8917811,-0.6312524,-1.0460503
1972-02-07,-1.950429,-0.7058042,-1.0757935
1972-02-08,-1.95063,-0.7315669,-1.0644177
1972-02-09,-1.9458811,-0.7426781,-1.0720878
1972-02-10,-1.9429832,-0.7969365,-1.0776899
1972-02-11,-1.9607301,-0.83384097,-1.0882874
1972-02-14,-1.9574163,-0.80938965,-1.0998371
1972-02-15,-1.9598649,-0.80580115,-1.1024445
1972-02-16,-1.9212008,-0.85311115,-1.1063812
1972-02-17,-1.9231306,-0.8364011,-1.108953
1972-02-18,-1.9253429,-0.78224707,-1.1112432
1972-02-22,-1.9014258,-0.7565825,-1.100348
1972-02-23,-1.9277157,-0.70139784,-1.0957375
1972-02-24,-1.9052895,-0.6786443,-1.088242
1972-02-25,-1.8361437,-0.6038366,-1.0534679
1972-02-28,-1.8430896,-0.5873794,-1.0503608
1972-02-29,-1.8448701,-0.5763138,-1.0480313
1972-03-01,-1.8282698,-0.5853822,-1.0493774
1972-03-02,-1.8045065,-0.5826454,-1.0502232
1972-03-03,-1.8049812,-0.570848,-1.0458956
1972-03-06,-1.8045473,-0.56253797,-1.0387714
1972-03-07,-1.8171322,-0.5519306,-1.0327733
1972-03-08,-1.82462,-0.54385793,-1.0330398
1972-03-09,-1.8410532,-0.50184333,-1.0217959
1972-03-10,-1.8754667,-0.4230956,-1.0023975
1972-03-13,-1.8954861,-0.3414419,-0.9585234
1972-03-14,-1.911644,-0.27748597,-0.95587265
1972-03-15,-1.943098,-0.20315306,-0.923287
1972-03-16,-1.9184358,-0.21001695,-0.9329344
1972-03-17,-1.9570231,-0.17610331,-0.92920595
1972-03-20,-1.93009,-0.18991044,-0.9218148
1972-03-21,-1.8788593,-0.25165007,-0.92305046
1972-03-22,-1.882086,-0.31735027,-0.94686115
1972-03-23,-1.9257689,-0.28403252,-0.93371665
1972-03-24,-1.9346759,-0.20346475,-0.9211441
1972-03-27,-1.9309857,-0.18236391,-0.93035597
1972-03-28,-1.9630941,-0.15123606,-0.92830783
1972-03-29,-2.004711,-0.11394002,-0.9173676
1972-03-30,-2.0105138,-0.08871505,-0.90961695
1972-04-03,-2.0350518,-0.09923812,-0.9033559
1972-04-04,-2.0932806,-0.08842315,-0.8745588
1972-04-05,-2.0641212,-0.10445624,-0.88101745
1972-04-06,-2.077897,-0.12518951,-0.88199437
1972-04-07,-2.0772877,-0.13633244,-0.88427496
1972-04-10,-2.050858,-0.17141983,-0.89698815
1972-04-11,-2.0720956,-0.15633112,-0.88075095
1972-04-12,-2.098585,-0.1632275,-0.868453
1972-04-13,-2.0746176,-0.23250812,-0.8380469
1972-04-14,-2.0346062,-0.25433147,-0.8424974
1972-04-17,-2.018975,-0.2717527,-0.85439587
1972-04-18,-2.0434346,-0.31131062,-0.8711144
1972-04-19,-2.0615075,-0.30932423,-0.8857494
1972-04-20,-2.0628254,-0.34949762,-0.9
1972-04-21,-2.0969605,-0.37378097,-0.92609143
1972-04-24,-2.0792098,-0.43310896,-0.91512656
1972-04-25,-2.059092,-0.48260587,-0.92142314
1972-04-26,-2.044687,-0.4644907,-0.9308187
1972-04-27,-1.9377396,-0.44566792,-1.003034
1972-04-28,-1.9150867,-0.43627292,-0.9714195
1972-05-01,-1.8965974,-0.4390266,-0.9720893
1972-05-02,-1.9089521,-0.44773152,-0.95819354
1972-05-03,-1.9295343,-0.44832247,-0.9576286
1972-05-04,-1.956646,-0.46215436,-0.95779264
1972-05-05,-1.9675629,-0.48074728,-0.9663975
1972-05-08,-1.9772086,-0.47441086,-0.9661436
1972-05-09,-1.9743346,-0.43087667,-0.93961203
1972-05-10,-1.9491754,-0.43216345,-0.94693613
1972-05-11,-1.9233416,-0.43632594,-0.9463116
1972-05-12,-1.8891242,-0.4322747,-0.9525323
1972-05-15,-1.8576179,-0.41092676,-0.94404614
1972-05-16,-1.8562005,-0.37274912,-0.93136084
1972-05-17,-1.8618374,-0.3141158,-0.9360074
1972-05-18,-1.8490491,-0.3215812,-0.941494
1972-05-19,-1.8249717,-0.33190215,-0.93182415
1972-05-22,-1.8002055,-0.31222346,-0.9501082
1972-05-23,-1.7812879,-0.35479093,-0.9431387
1972-05-24,-1.7839227,-0.35367015,-0.9402244
1972-05-25,-1.7828143,-0.3671998,-0.96489656
1972-05-26,-1.7849865,-0.35950246,-0.9639441
1972-05-30,-1.7715251,-0.3510548,-0.9645605
1972-05-31,-1.7858362,-0.36460242,-0.9493047
1972-06-01,-1.8142852,-0.2980667,-0.955745
1972-06-02,-1.8181827,-0.27181304,-0.9442457
1972-06-05,-1.8152757,-0.2969842,-0.9217327
1972-06-06,-1.828269,-0.2887808,-0.9099035
1972-06-07,-1.8151097,-0.28911844,-0.9144486
1972-06-08,-1.8175244,-0.3011579,-0.91512644
1972-06-09,-1.8125836,-0.29386687,-0.9175563
1972-06-12,-1.8161528,-0.2831021,-0.9197147
1972-06-13,-1.8254327,-0.27813217,-0.91729283
1972-06-14,-1.8425446,-0.20490669,-0.95046806
1972-06-15,-1.844404,-0.17447369,-0.9464185
1972-06-16,-1.8371637,-0.1470491,-0.93115735
1972-06-19,-1.8370932,-0.12826076,-0.93729365
1972-06-20,-1.8482485,-0.11621708,-0.93610716
1972-06-21,-1.8731223,-0.10255825,-0.93055785
1972-06-22,-1.8907043,-0.06849561,-0.9185543
1972-06-23,-1.8916337,-0.038592566,-0.91509295
1972-06-26,-1.9078939,-0.0039657075,-0.9068322
1972-06-27,-1.8825771,-0.014194844,-0.90673906
1972-06-28,-1.8936043,-0.035453357,-0.91170883
1972-06-29,-1.9107093,-0.013257667,-0.9006096
1972-06-30,-1.8995296,0.02537419,-0.8859995
1972-07-03,-1.8924364,0.030884314,-0.8889644
1972-07-05,-1.8839213,0.009086007,-0.90184283
1972-07-06,-1.8786442,-0.00016084127,-0.90825284
1972-07-07,-1.9000311,0.0075537767,-0.90257573
1972-07-10,-1.8975527,0.022091119,-0.8994466
1972-07-11,-1.8924339,0.022090144,-0.89757276
1972-07-12,-1.8929902,0.009474909,-0.9015546
1972-07-13,-1.8808458,-0.029000476,-0.89524245
1972-07-14,-1.8703736,-0.07337673,-0.90461636
1972-07-17,-1.8840061,-0.08570487,-0.9048382
1972-07-18,-1.8877625,-0.08126261,-0.9021889
1972-07-19,-1.8830665,-0.106898114,-0.9082438
1972-07-20,-1.9082466,-0.111031465,-0.9077108
1972-07-21,-1.9073979,-0.10976833,-0.89970005
1972-07-24,-1.896256,-0.11380927,-0.89467734
1972-07-25,-1.8886299,-0.12242397,-0.89589745
1972-07-26,-1.8864002,-0.13501477,-0.90193
1972-07-27,-1.9223197,-0.18221849,-0.8946649
1972-07-28,-1.9191011,-0.23867664,-0.8920317
1972-07-31,-1.9249567,-0.26886123,-0.90025425
1972-08-01,-1.9374709,-0.2749728,-0.9046353
1972-08-02,-1.9243999,-0.3038251,-0.91795444
1972-08-03,-1.9355706,-0.28657013,-0.91705954
1972-08-04,-1.9391179,-0.265876,-0.9099004
1972-08-07,-1.9464283,-0.25586075,-0.90931
1972-08-08,-1.9417273,-0.25020146,-0.9116509
1972-08-09,-1.9240446,-0.26231498,-0.9151399
1972-08-10,-1.9259373,-0.26880148,-0.90606254
1972-08-11,-1.9250915,-0.26314425,-0.9042604
1972-08-14,-1.9220833,-0.24284428,-0.8914226
1972-08-15,-1.9112668,-0.24029507,-0.88682044
1972-08-16,-1.9079016,-0.2446208,-0.88606834
1972-08-17,-1.909959,-0.25040257,-0.8834817
1972-08-18,-1.8946984,-0.21233837,-0.8652072
1972-08-21,-1.8734185,-0.17740946,-0.85387
1972-08-22,-1.8593733,-0.13961911,-0.8429912
1972-08-23,-1.8563428,-0.09924377,-0.8237433
1972-08-24,-1.841706,-0.07852325,-0.80593354
1972-08-25,-1.8935546,-0.037815742,-0.7846664
1972-08-28,-1.9109381,-0.017745677,-0.7649635
1972-08-29,-1.8900968,0.0013975967,-0.7424463
1972-08-30,-1.8699224,0.019333947,-0.7068622
