,C5,C4,C3,C2,C1
1971-12-20,1.100596,0.0048939735,0.49537712,1.9548836,0.5821169
1971-12-21,1.1226077,-0.053135827,0.46641862,1.9541981,0.57374233
1971-12-22,1.161238,-0.069560274,0.4790334,1.9381117,0.5832585
1971-12-23,1.2298486,-0.1273647,0.4930582,1.9035136,0.6241652
1971-12-27,1.2710426,-0.14422661,0.44184273,1.882943,0.653008
1971-12-28,1.2539959,-0.17600843,0.415098,1.8826463,0.6744132
1971-12-29,1.2379328,-0.28498948,0.4618729,1.8935668,0.658063
1971-12-30,1.2540094,-0.29211238,0.4183048,1.8948743,0.6504892
1971-12-31,1.2549913,-0.26178643,0.41660562,1.8902365,0.66116744
1972-01-03,1.2822185,-0.3187119,0.43259555,1.8928876,0.6344678
1972-01-04,1.302377,-0.28633243,0.44165218,1.8818521,0.64049804
1972-01-05,1.3231282,-0.27602392,0.47757533,1.8678343,0.64898026
1972-01-06,1.3576128,-0.30385512,0.50468403,1.8494992,0.6650176
1972-01-07,1.4154203,-0.49774754,0.5465151,1.8214383,0.6887176
1972-01-10,1.5238979,-0.7638637,0.6374161,1.7663608,0.73464143
1972-01-11,1.5069215,-0.6919081,0.62961614,1.7751509,0.72360355
1972-01-12,1.5178151,-0.63982105,0.61017716,1.7694535,0.72575396
1972-01-13,1.5394106,-0.57518554,0.6065409,1.7522843,0.7425779
1972-01-14,1.5520226,-0.52225316,0.6461526,1.7422235,0.74789274
1972-01-17,1.5324359,-0.5720071,0.67519647,1.7563314,0.72987545
1972-01-18,1.5346801,-0.57689613,0.7085955,1.7623587,0.712754
1972-01-19,1.5136969,-0.72466636,0.7555738,1.7900977,0.6715093
1972-01-20,1.5100942,-0.6494552,0.7547494,1.7907741,0.6675067
1972-01-21,1.4661958,-0.5999662,0.7297478,1.8123136,0.65000314
1972-01-24,1.4213479,-0.6215319,0.7477374,1.833082,0.6318232
1972-01-25,1.4322491,-0.584509,0.6878788,1.8319798,0.6333216
1972-01-26,1.4536643,-0.53889817,0.6889168,1.8203933,0.6414833
1972-01-27,1.5129375,-0.52971673,0.73935074,1.8046317,0.62412256
1972-01-28,1.5260034,-0.656836,0.75159276,1.8119731,0.604841
1972-01-31,1.5080566,-0.7225888,0.75558937,1.8222743,0.5990019
1972-02-01,1.4666901,-0.74875253,0.75915444,1.84105,0.58558625
1972-02-02,1.4832051,-0.6625607,0.72626054,1.8287044,0.5988373
1972-02-03,1.4731346,-0.71885216,0.7558218,1.8361914,0.58876306
1972-02-04,1.490564,-0.7094647,0.7212488,1.8263626,0.60354906
1972-02-07,1.5487336,-0.916512,0.78370786,1.8066359,0.61388177
1972-02-08,1.5803717,-0.9140169,0.7581703,1.8032694,0.602873
1972-02-09,1.588135,-0.89533436,0.76387405,1.7954835,0.6121567
1972-02-10,1.6520875,-0.9823468,0.69775915,1.781945,0.6147026
1972-02-11,1.6819329,-1.0000436,0.7343159,1.767624,0.6218653
1972-02-14,1.6531675,-1.043152,0.728745,1.7741721,0.6326914
1972-02-15,1.6473653,-1.0589132,0.7311694,1.7751622,0.6343393
