,C1,C2,C3
1972-01-14,-0.99332184,-1.1144961,-0.39304578
1972-01-17,-0.87492365,-1.0918036,-0.43182528
1972-01-18,-0.7596779,-1.0993065,-0.45527217
1972-01-19,-0.494588,-1.0749543,-0.53004426
1972-01-20,-0.47189116,-1.0696086,-0.5116423
1972-01-21,-0.37920576,-1.0027035,-0.49445766
1972-01-24,-0.25711647,-0.941314,-0.52411646
1972-01-25,-0.29121435,-0.94815516,-0.47103018
1972-01-26,-0.3406782,-0.9807462,-0.45310506
1972-01-27,-0.22533588,-1.0736194,-0.46763864
1972-01-28,-0.1085776,-1.0946771,-0.5024838
1972-01-31,-0.06891596,-1.0689074,-0.527439
1972-02-01,0.0123404255,-1.0079876,-0.54888386
1972-02-02,-0.08437438,-1.0294727,-0.49802437
1972-02-03,-0.012779713,-1.0176015,-0.5360171
1972-02-04,-0.11331917,-1.0404316,-0.5030436
1972-02-07,-0.14034897,-1.1368933,-0.5821705
1972-02-08,-0.091628775,-1.180166,-0.55194664
1972-02-09,-0.14433897,-1.1927292,-0.5489643
1972-02-10,-0.18438259,-1.2800256,-0.50321066
1972-02-11,-0.20973647,-1.3271896,-0.52402294
1972-02-14,-0.26896334,-1.2842498,-0.5394079
1972-02-15,-0.27676532,-1.2765104,-0.54688954
1972-02-16,-0.40527183,-1.3512381,-0.46671888
1972-02-17,-0.41184852,-1.3249786,-0.4778616
1972-02-18,-0.40340167,-1.2470492,-0.5164705
1972-02-22,-0.39852414,-1.2187948,-0.48764884
1972-02-23,-0.29222515,-1.1328725,-0.5567173
1972-02-24,-0.30630013,-1.1055576,-0.5283546
1972-02-25,-0.27460945,-1.0069082,-0.43667427
1972-02-28,-0.24295431,-0.98261064,-0.45536372
1972-02-29,-0.22365554,-0.96537256,-0.45993856
1972-03-01,-0.27598876,-0.97881275,-0.43805346
1972-03-02,-0.34283987,-0.97265446,-0.4078068
1972-03-03,-0.31457406,-0.9548057,-0.41093785
1972-03-06,-0.2786148,-0.94491655,-0.41223902
1972-03-07,-0.21328136,-0.93020475,-0.43074706
1972-03-08,-0.19459048,-0.9177101,-0.447565
1972-03-09,-0.087042876,-0.8596007,-0.4811106
1972-03-10,0.11747248,-0.7503351,-0.5385946
1972-03-13,0.41421443,-0.6486793,-0.56484956
1972-03-14,0.4756803,-0.56102103,-0.6044692
1972-03-15,0.72275305,-0.4681216,-0.65042174
1972-03-16,0.6276289,-0.46932927,-0.6171252
1972-03-17,0.72574335,-0.42902318,-0.68793356
1972-03-20,0.7105403,-0.44709548,-0.62546647
1972-03-21,0.58426213,-0.527392,-0.5238869
1972-03-22,0.4555759,-0.61623394,-0.5235274
1972-03-23,0.62612545,-0.57716805,-0.58469313
1972-03-24,0.73818016,-0.46394378,-0.6152984
1972-03-27,0.68856084,-0.42931816,-0.62284726
1972-03-28,0.7678921,-0.3896308,-0.6864208
1972-03-29,0.9183987,-0.34509915,-0.7560228
1972-03-30,0.9722359,-0.311517,-0.7669653
1972-04-03,1.0537953,-0.33133873,-0.8039021
