,C1,C2,C3
1972-02-02,-0.4825063,-0.83303916,-1.6329793
1972-02-03,-0.423847,-0.78927225,-1.6251274
1972-02-04,-0.49914467,-0.83313036,-1.6386486
1972-02-07,-0.4911998,-0.78989065,-1.7154249
1972-02-08,-0.4756031,-0.84513026,-1.7588276
1972-02-09,-0.5098091,-0.85224116,-1.7666734
1972-02-10,-0.5534508,-0.93211126,-1.839938
1972-02-11,-0.5649039,-0.93251824,-1.8800122
1972-02-14,-0.5924346,-0.89426905,-1.8348283
1972-02-15,-0.5939399,-0.88258654,-1.826735
1972-02-16,-0.7070951,-0.99799407,-1.8895205
1972-02-17,-0.7049589,-0.9728761,-1.8642286
1972-02-18,-0.68016696,-0.8940198,-1.7934644
1972-02-22,-0.68639296,-0.91182375,-1.7718412
1972-02-23,-0.5900286,-0.8002908,-1.6997268
1972-02-24,-0.6078972,-0.8185365,-1.6762216
1972-02-25,-0.6213059,-0.8904337,-1.5844537
1972-02-28,-0.5927685,-0.857666,-1.5674281
1972-02-29,-0.5780273,-0.84608525,-1.5517417
1972-03-01,-0.62193924,-0.8830818,-1.5570089
1972-03-02,-0.6769336,-0.92310214,-1.5378964
1972-03-03,-0.6571806,-0.9128264,-1.5226057
1972-03-06,-0.6352225,-0.9113913,-1.5164192
1972-03-07,-0.58623457,-0.8827237,-1.5110499
1972-03-08,-0.56620955,-0.8544221,-1.5052971
1972-03-09,-0.4810685,-0.78782624,-1.4662378
1972-03-10,-0.32354835,-0.6819573,-1.3852257
1972-03-13,-0.09863904,-0.6339799,-1.3522588
1972-03-14,-0.03160202,-0.5687073,-1.2840842
1972-03-15,0.15280372,-0.524853,-1.2473143
1972-03-16,0.08508453,-0.5414949,-1.2286252
1972-03-17,0.1705759,-0.47752237,-1.2129351
1972-03-20,0.1397082,-0.53646505,-1.2209219
1972-03-21,0.020248625,-0.65199345,-1.260882
1972-03-22,-0.081389576,-0.6735646,-1.3177608
1972-03-23,0.06667046,-0.6066284,-1.3231312
1972-03-24,0.15348358,-0.5488366,-1.2407126
1972-03-27,0.13136056,-0.5234978,-1.1992171
1972-03-28,0.20129956,-0.4634959,-1.1826919
1972-03-29,0.34574747,-0.41137946,-1.1585001
1972-03-30,0.39263213,-0.39963877,-1.131045
1972-04-03,0.4598509,-0.39012432,-1.1613392
1972-04-04,0.6392805,-0.37549376,-1.2088708
1972-04-05,0.5690025,-0.40054157,-1.205424
1972-04-06,0.5782191,-0.4028011,-1.2380086
1972-04-07,0.5656499,-0.40875095,-1.2495799
1972-04-10,0.46724364,-0.43904284,-1.2695638
1972-04-11,0.5557707,-0.43108773,-1.2780415
1972-04-12,0.6285041,-0.4322,-1.3142189
1972-04-13,0.61448175,-0.55742913,-1.4180033
1972-04-14,0.52394605,-0.6022453,-1.4243749
1972-04-17,0.45692462,-0.60856366,-1.4269029
1972-04-18,0.4345925,-0.59100205,-1.4718614
1972-04-19,0.42774937,-0.55015004,-1.4635605
1972-04-20,0.3660004,-0.5560137,-1.5069734
1972-04-21,0.33245134,-0.48767686,-1.5312335
1972-04-24,0.29300576,-0.56679,-1.6142133
1972-04-25,0.21239889,-0.61063385,-1.6610698
1972-04-26,0.17045957,-0.6009662,-1.6187745
1972-04-27,-0.21494138,-0.6259449,-1.4539008
1972-04-28,-0.165301,-0.7125268,-1.4591583
1972-05-01,-0.20866731,-0.738397,-1.449484
1972-05-02,-0.14383355,-0.7494488,-1.4844232
1972-05-03,-0.099176824,-0.7200874,-1.4999512
1972-05-04,-0.046267148,-0.6930157,-1.5346255
1972-05-05,-0.064463526,-0.68427014,-1.5533354
1972-05-08,-0.040554088,-0.6669853,-1.5493864
1972-05-09,0.06281406,-0.66568553,-1.5242083
1972-05-10,-0.008014675,-0.69383746,-1.5029124
1972-05-11,-0.065335914,-0.736153,-1.4921339
1972-05-12,-0.15707569,-0.7866775,-1.4484593
1972-05-15,-0.18901917,-0.83989334,-1.4004439
1972-05-16,-0.1257879,-0.8241704,-1.3668809
1972-05-17,-0.08612761,-0.7314889,-1.3014132
1972-05-18,-0.13554785,-0.7492636,-1.2923077
1972-05-19,-0.17331028,-0.83241343,-1.2866067
1972-05-22,-0.28147903,-0.81428486,-1.2159452
1972-05-23,-0.33481246,-0.9124586,-1.255589
1972-05-24,-0.3151485,-0.9092993,-1.2611032
1972-05-25,-0.40020257,-0.8732227,-1.2568374
1972-05-26,-0.3927214,-0.8647492,-1.2480348
1972-05-30,-0.41860595,-0.88502014,-1.2216896
1972-05-31,-0.34822166,-0.9014383,-1.2673066
1972-06-01,-0.25965196,-0.7610236,-1.2078807
1972-06-02,-0.19624811,-0.7511252,-1.1928836
1972-06-05,-0.14465119,-0.8318794,-1.2418483
1972-06-06,-0.077781186,-0.81570953,-1.2595764
1972-06-07,-0.11842868,-0.8358896,-1.2397555
1972-06-08,-0.119877234,-0.8384861,-1.2586726
1972-06-09,-0.13463672,-0.8379179,-1.2415147
1972-06-12,-0.12887233,-0.81900895,-1.2293645
1972-06-13,-0.09967196,-0.7981777,-1.2366438
1972-06-14,-0.12436299,-0.6133944,-1.1367697
1972-06-15,-0.08948949,-0.5873621,-1.1061728
1972-06-16,-0.039074387,-0.60213614,-1.080065
1972-06-19,-0.052857053,-0.5695915,-1.0523177
1972-06-20,-0.017028954,-0.54002196,-1.0515208
1972-06-21,0.050859857,-0.50670135,-1.0590225
1972-06-22,0.12380493,-0.4793611,-1.0402533
1972-06-23,0.14446163,-0.46350002,-1.0054646
1972-06-26,0.21425901,-0.43714416,-0.9727779
1972-06-27,0.16254859,-0.4698146,-0.9736262
1972-06-28,0.16225743,-0.4695582,-1.0003166
1972-06-29,0.2399735,-0.45401973,-0.988759
1972-06-30,0.27838427,-0.4647256,-0.94125074
1972-07-03,0.25589335,-0.46477604,-0.92675585
1972-07-05,0.18932447,-0.46643174,-0.94340307
1972-07-06,0.15359664,-0.47117674,-0.94475853
1972-07-07,0.21594928,-0.44678628,-0.9538463
1972-07-10,0.22741182,-0.44285244,-0.93532556
1972-07-11,0.22382306,-0.45035705,-0.9347089
1972-07-12,0.2046732,-0.45283353,-0.9498163
1972-07-13,0.17073488,-0.521067,-0.99186736
1972-07-14,0.11192164,-0.55451,-1.0320488
1972-07-17,0.13145818,-0.5401668,-1.0631038
1972-07-18,0.14686581,-0.53480685,-1.0634218
1972-07-19,0.1161519,-0.5485518,-1.0876931
1972-07-20,0.15717292,-0.51922846,-1.1131072
1972-07-21,0.17702205,-0.52752715,-1.119964
1972-07-24,0.16946341,-0.5538585,-1.1214901
1972-07-25,0.14949676,-0.57097507,-1.124253
1972-07-26,0.12568197,-0.57284725,-1.1328348
1972-07-27,0.18783428,-0.5688857,-1.2324842
1972-07-28,0.16818409,-0.632614,-1.3059103
1972-07-31,0.14578784,-0.6370113,-1.3416814
1972-08-01,0.1523524,-0.623194,-1.3511666
1972-08-02,0.086840466,-0.64242226,-1.3637369
1972-08-03,0.11299962,-0.61937577,-1.349605
1972-08-04,0.14828232,-0.60702515,-1.3343569
1972-08-07,0.1671677,-0.5943767,-1.3259628
1972-08-08,0.1542492,-0.5903278,-1.3133248
1972-08-09,0.11184473,-0.6141633,-1.3139565
1972-08-10,0.14450091,-0.6280267,-1.336974
1972-08-11,0.14836046,-0.62701124,-1.331038
1972-08-14,0.17991802,-0.63463426,-1.3144811
1972-08-15,0.1697978,-0.654721,-1.3062493
1972-08-16,0.16336203,-0.6678063,-1.3081203
1972-08-17,0.17139475,-0.6755752,-1.3195562
1972-08-18,0.19546014,-0.71039385,-1.2659684
1972-08-21,0.19401002,-0.74043214,-1.2086128
1972-08-22,0.20932661,-0.7485358,-1.1566945
1972-08-23,0.26916325,-0.7619803,-1.1150926
1972-08-24,0.277336,-0.808845,-1.0878671
1972-08-25,0.45892105,-0.7368311,-1.1104168
1972-08-28,0.5417379,-0.7399928,-1.1237417
1972-08-29,0.5536379,-0.8096591,-1.1016952
1972-08-30,0.5914887,-0.91428393,-1.0881934
1972-08-31,0.56915736,-0.91879463,-1.0566045
1972-09-01,0.5459456,-0.9305722,-1.0543855
1972-09-05,0.59436566,-1.0008097,-1.0521718
1972-09-06,0.61992943,-1.046304,-1.0690864
1972-09-07,0.6396909,-1.0782858,-1.1009985
1972-09-08,0.6725804,-1.1189163,-1.1323189
1972-09-11,0.59873074,-1.1617204,-1.1097822
1972-09-12,0.61087644,-1.1467224,-1.085377
1972-09-13,0.6637807,-1.1241148,-1.0842386
1972-09-14,0.6964435,-1.1432835,-1.0584959
1972-09-15,0.6143331,-1.1836275,-1.0268651
1972-09-18,0.5420437,-1.2040617,-1.0047567
1972-09-19,0.5197334,-1.2031676,-0.9916057
1972-09-20,0.5551966,-1.1952363,-1.0141687
1972-09-21,0.57591224,-1.2243284,-1.013236
1972-09-22,0.64689577,-1.2322732,-0.9723204
1972-09-25,0.64256114,-1.2455817,-0.97297865
1972-09-26,0.55598164,-1.2672172,-0.94103885
1972-09-27,0.5727344,-1.2343508,-0.9188405
1972-09-28,0.5528621,-1.2062372,-0.9132159
1972-09-29,0.5509461,-1.1719254,-0.8797943
1972-10-02,0.52904433,-1.1695937,-0.9074752
1972-10-03,0.61513805,-1.1499255,-0.93079686
1972-10-04,0.56918776,-1.1631697,-0.92094
1972-10-05,0.5644779,-1.1751043,-0.90085953
1972-10-06,0.5221174,-1.207501,-0.90039325
1972-10-10,0.46384367,-1.1666452,-0.85824305
1972-10-11,0.5000347,-1.1327854,-0.87068814
1972-10-12,0.57920086,-1.1346079,-0.898941
1972-10-13,0.57791895,-1.1497724,-0.8797718
1972-10-16,0.5518079,-1.1522933,-0.86699253
1972-10-17,0.54647213,-1.1420286,-0.8573093
1972-10-18,0.59163684,-1.1145325,-0.88731956
1972-10-19,0.6001084,-1.0912544,-0.8861018
1972-10-20,0.58696264,-1.0828258,-0.8800916
1972-10-24,0.5103014,-1.0833912,-0.85307235
1972-10-25,0.5240386,-1.0602378,-0.84353673
1972-10-26,0.5279346,-1.0233234,-0.8360674
1972-10-27,0.5465688,-1.0154345,-0.8436207
